id	pop	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	group
83815_A12	Denmark	0.0069	-0.0015	-0.0055	-0.0119	0.0129	-0.0014	0.002	0.006	0.0035	-0.0091	North
83815_B02	Finland_Subset	0.016	-0.0285	-0.0062	0.03	-0.0269	-0.0054	-0.0406	0.0096	-0.0015	0.0089	North
83815_B08	Finland_Subset	0.0157	-0.0327	-0.0036	0.0329	-0.0211	-0.01	-0.0437	-0.0049	-0.0104	0.0038	North
83815_B12	Denmark	0.0081	0.0001	-0.0026	-0.0103	0.0016	-0.0031	0.0097	-0.0107	-0.0042	0.0116	North
83815_C12	Denmark	0.0082	0.0008	-0.0086	-0.0126	0.0022	-0.0114	0.0081	0.0026	-0.0026	-0.0059	North
83815_D04	Finland_Subset	0.015	-0.0344	-0.0017	0.0312	-0.0193	-0.0117	-0.0476	0.0003	0.0035	-0.0023	North
83815_D10	Finland_Subset	0.0173	-0.0325	-0.0018	0.0358	-0.0285	-0.0123	-0.0353	-0.0044	-0.0051	0.0012	North
83815_D12	Denmark	0.0085	0.0042	-0.0089	-0.0074	0.0036	-0.0081	0.0044	0.0051	0.0058	0.0042	North
83815_E11	Denmark	0.009	-0.004	-0.0095	-0.0139	0.003	-0.0051	-0.0015	0.0044	-0.0016	0.0099	North
83815_E12	Denmark	0.0052	0.0046	-0.0027	-0.0078	0.0095	0.0019	0.0035	0.0054	-0.0087	0.0065	North
83815_F12	Denmark	0.0058	0.0007	-0.0065	-0.0086	0.0037	0.0023	0.0029	-0.0042	0.0047	-0.0034	North
83815_G05	Finland_Subset	0.0124	-0.0244	-0.0001	0.0187	-0.0167	-0.0117	-0.0257	0.0083	-0.0007	0.0014	North
83815_G11	Denmark	0.0087	-0.0039	-0.0073	-0.0047	0.0083	-0.0044	0.0082	0.0075	-0.001	-0.0003	North
83815_G12	Denmark	0.0057	-0.0015	-0.005	-0.0066	0.0044	-0.0009	0.0031	0.0001	0.0028	-0.002	North
83815_H02	Finland_Subset	0.0144	-0.0301	-0.0071	0.0207	-0.0158	-0.0128	-0.0216	-0.0136	-0.0036	0.0033	North
83815_H08	Finland_Subset	0.0159	-0.0325	-0.0087	0.0332	-0.0181	-0.0157	-0.0531	-0.0166	-0.0077	-0.0056	North
83815_H11	Denmark	0.0066	0.001	-0.0054	-0.0119	0.0056	-0.0079	-0.0023	0.005	-0.0017	0.0033	North
83815_H12	Denmark	0.0034	-0.0011	-0.0123	-0.0061	0.0053	0.0033	-0.005	-0.0005	0.0045	-0.0022	North
83817_A01	Italy	-0.0335	-0.0102	-0.0109	0.0003	0.0049	0.0104	-0.0008	-0.0035	0.0001	0.0056	South
83817_A02	Italy	-0.0181	-0.0033	0.0003	-0.0058	-0.0161	0.0013	-0.001	-0.0044	-0.0012	-0.0101	South
83817_A03	Italy	-0.0239	-0.0034	0.0004	-0.0021	-0.003	0.0107	-0.0034	0.0041	0.0142	0.0057	South
83817_A04	Italy	-0.0254	-0.0068	-0.0062	0.0006	0.0018	0.0105	-0.0101	0.0036	0.0037	0.002	South
83817_A06	Italy	-0.0301	-0.0082	-0.0085	-0.0037	0.0033	0.0253	-0.0152	0.0006	-0.0018	0.006	South
83817_A07	Italy	-0.0185	0.0033	-0.0028	-0.0053	-0.018	0.0056	-0.0102	-0.0034	0.001	0.0027	South
83817_A08	Italy	-0.0191	0.0008	-0.0018	0.0034	-0.0174	0.0032	-0.0012	-0.0049	-0.0104	-0.0007	South
83817_A09	Italy	-0.0179	-0.0003	-0.0036	-0.0117	-0.0128	-0.0007	-0.006	-0.0056	-0.0028	-0.0107	South
83817_A10	Italy	-0.0186	0.0022	-0.0028	-0.0009	-0.0035	-0.0017	-0.0005	0.005	-0.003	-0.0016	South
83817_A11	Italy	-0.0222	-0.0017	0.0017	-0.0001	-0.0065	0.0113	-0.0098	-0.0045	-0.0063	-0.0148	South
83817_A12	Italy	-0.0164	-0.0009	-0.0005	-0.0021	-0.008	-0.0035	0.0091	-0.0007	-0.0058	-0.0183	South
83817_B01	Italy	-0.0333	-0.0122	-0.0118	0.0089	0.0198	0.0208	0.0013	-0.006	0.0091	0.012	South
83817_B02	Italy	-0.0286	-0.0052	-0.0108	-0.0079	-0.0107	0.0054	-0.0031	-0.0022	0.0025	-0.0012	South
83817_B03	Italy	-0.0325	-0.0106	-0.0119	0.0041	0.0126	0.0091	-0.005	-0.011	0.0058	-0.002	South
83817_B04	Italy	-0.0034	-0.0168	0.0196	-0.0019	0.0047	0.0048	-0.0052	-0.0029	0.0013	-0.0038	South
83817_B05	Italy	-0.0168	-0.0006	0.0024	0.0008	-0.0153	0.0002	-0.0062	-0.0133	0.0001	0.0004	South
83817_B06	Italy	-0.0178	0.0003	-0.0033	-0.0067	-0.0136	-0.0024	-0.004	-0.0033	-0.0072	-0.0119	South
83817_B07	Italy	-0.0193	-0.002	-0.0029	-0.0023	-0.008	-0.0016	-0.0005	-0.0092	-0.0006	0.0034	South
83817_B08	Italy	-0.02	0.0012	0.0015	-0.0047	-0.0127	0.0054	-0.0016	0.0012	-0.0026	0.0117	South
83817_B09	Italy	-0.0309	-0.0122	-0.0104	0.0016	0.009	0.022	-0.0074	0.0038	-0.0007	-0.0072	South
83817_B10	Italy	-0.0338	0.0048	-0.0093	-0.0074	-0.0372	-0.0288	0.0064	-0.0066	0.0043	-0.0116	South
83817_B11	Italy	-0.0232	-0.0013	-0.0057	-0.0029	-0.0082	0.0118	-0.002	-0.0001	0.0027	-0.0108	South
83817_B12	Italy	-0.0287	-0.0129	-0.007	-0.0029	-0.0051	0.0173	-0.0007	0.0075	-0.0062	-0.0052	South
83817_C01	Italy	-0.0199	-0.0022	0.0025	-0.0023	-0.0015	0.0143	-0.0007	-0.0004	-0.0043	0.0036	South
83817_C02	Italy	-0.0267	-0.0044	-0.003	0.0033	0	0.0137	0.005	-0.0128	-0.0012	-0.0009	South
83817_C03	Italy	-0.0313	-0.0102	-0.0124	0.0002	0.0098	0.0173	-0.0071	-0.0051	0.0037	0.0021	South
83817_C04	Italy	-0.0306	-0.0102	-0.0086	0.0059	0.0063	0.0181	-0.0022	0.0029	0.0062	-0.0093	South
